2022-01-04/10:46:52		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:53		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:53		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:54		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:54		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:54		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:54		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:54		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:54		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:54		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:54		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:54		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:54		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:54		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:54		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:54		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:55		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:55		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:55		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:55		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:55		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:55		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:55		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:55		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:55		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:55		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:55		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:55		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:56		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:56		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:56		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:56		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:56		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:56		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:56		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:56		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:56		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:56		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:56		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:56		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:56		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:57		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:57		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:57		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:57		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:57		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:57		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:57		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:57		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:57		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:57		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:57		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:57		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:58		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:58		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:58		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:58		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:58		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:58		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:58		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:58		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:58		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:58		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:58		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:59		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:59		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:59		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:59		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:59		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:59		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:59		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:59		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:59		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:59		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:59		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:59		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:59		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:46:59		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:47:00		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:47:00		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:47:00		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:47:00		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:47:00		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:47:00		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:47:00		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:47:00		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:47:00		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:47:00		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:47:01		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:47:01		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:47:01		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:47:01		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:47:01		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:47:01		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:47:01		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:47:01		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:47:01		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:47:01		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:47:01		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:47:02		 wafer_13012020_090817.csv: File loaded successfully!!
2022-01-04/10:47:02		 wafer_16012020_051629.csv: File loaded successfully!!
2022-01-04/10:47:02		 wafer_16012020_051629.csv: File loaded successfully!!
